wavenumber,transmittance
1161.8452,0.270071
1159.2651,0.266390
1156.6849,0.259902
1154.1048,0.252544
1151.5246,0.240669
1148.9445,0.226190
1146.3643,0.212921
1143.7842,0.205606
1141.2041,0.199515
1138.6239,0.193611
1136.0438,0.188206
1133.4636,0.188001
1130.8835,0.192937
1128.3034,0.202224
1125.7232,0.214372
1123.1431,0.227752
1120.5629,0.244669
1117.9828,0.262090
1115.4027,0.277009
1112.8225,0.288345
1110.2424,0.300381
1107.6622,0.312567
1105.0821,0.317071
1102.5020,0.314733
1099.9218,0.309187
1097.3417,0.308304
1094.7615,0.310125
1092.1814,0.315973
1089.6013,0.325109
1087.0211,0.336384
1084.4410,0.348606
1081.8608,0.361830
1079.2807,0.366273
1076.7005,0.362288
1074.1204,0.351663
1071.5403,0.353449
1068.9601,0.359126
1066.3800,0.370345
1063.7998,0.381036
1061.2197,0.401640
1058.6396,0.424228
1056.0594,0.449920
1053.4793,0.478190
1050.8991,0.511461
1048.3190,0.532465
1045.7389,0.558944
1043.1587,0.589635
1040.5786,0.616544
1037.9984,0.630883
1035.4183,0.648178
1032.8382,0.656230
1030.2580,0.643343
1027.6779,0.619859
1025.0977,0.585951
1022.5176,0.540725
1019.9375,0.491612
1017.3573,0.449969
1014.7772,0.413272
1012.1970,0.384325
1009.6169,0.357429
1007.0367,0.337954
1004.4566,0.322476
1001.8765,0.314052
999.2963,0.308253
996.7162,0.301115
994.1360,0.291340
991.5559,0.283246
988.9758,0.276537
986.3956,0.270379
983.8155,0.264290
981.2353,0.261506
978.6552,0.259429
976.0751,0.262061
973.4949,0.266158
970.9148,0.265579
968.3346,0.258067
965.7545,0.248242
963.1744,0.238618
960.5942,0.227879
958.0141,0.217419
955.4339,0.207479
952.8538,0.201571
950.2737,0.197569
947.6935,0.195718
945.1134,0.197655
942.5332,0.204501
939.9531,0.209553
937.3729,0.212858
934.7928,0.216720
932.2127,0.221022
929.6325,0.225663
927.0524,0.230955
924.4722,0.237645
921.8921,0.242809
919.3120,0.242791
916.7318,0.238317
914.1517,0.232426
911.5715,0.227816
908.9914,0.217878
906.4113,0.212435
903.8311,0.206804
901.2510,0.203172
898.6708,0.195018
896.0907,0.190470
893.5106,0.186027
890.9304,0.183185
888.3503,0.180827
885.7701,0.181432
883.1900,0.185107
880.6099,0.190537
878.0297,0.197287
875.4496,0.202598
872.8694,0.208437
870.2893,0.214613
867.7091,0.219924
865.1290,0.223206
862.5489,0.225356
859.9687,0.231731
857.3886,0.235700
854.8084,0.238765
852.2283,0.240858
849.6482,0.248188
847.0680,0.247047
844.4879,0.240796
841.9077,0.234194
839.3276,0.226818
836.7475,0.220660
834.1673,0.216389
831.5872,0.214545
829.0070,0.210883
826.4269,0.211819
823.8468,0.213851
821.2666,0.216174
818.6865,0.221174
816.1063,0.229480
813.5262,0.237255
810.9461,0.238254
808.3659,0.236989
805.7858,0.237036
803.2056,0.242787
800.6255,0.247720
798.0453,0.252280
795.4652,0.255474
792.8851,0.261409
790.3049,0.267167
787.7248,0.274197
785.1446,0.282746
782.5645,0.287092
779.9844,0.291623
777.4042,0.298226
774.8241,0.305631
772.2439,0.309836
769.6638,0.315287
767.0837,0.322029
764.5035,0.328395
761.9234,0.331561
759.3432,0.339990
756.7631,0.349438
754.1830,0.357995
751.6028,0.366225
749.0227,0.376673
746.4425,0.385638
743.8624,0.391496
741.2823,0.402011
738.7021,0.412135
736.1220,0.422507
733.5418,0.432731
730.9617,0.444137
728.3815,0.451580
